Référence fournisseur;Titre;Nom société;N° bordereau;Nom demandeur;Date bordereau;Refus?;Commentaire demande;N° marché;Site;Sous-système;Référence fiche;;;
118621F122ESSFGPG820562;DEBOURG - ECLAIRAGE DE SECURITE;BOUYGUES E. & S.;C.DOC/JG/21/99;DARNER;28/04/2021;;ONDLUEURS CHARGEURS    (2019);FM 826;DEBOURG;BASSE TENSION;93995;93995;;
118621F122ESSFGPG820563;DEBOURG - ARMOIRE 48V ET FORMATION DE S/TRANCHES HT;BOUYGUES E. & S.;C.DOC/JG/21/99;DARNER;28/04/2021;;ONDLUEURS CHARGEURS    (2019);FM 826;DEBOURG;HAUTE TENSION;93996;93996;Problème algo ;H:\Tcl\Prêt Plans\Prêt 2021\Bordereau 21-099\DEBOURG\118621F122ESSFGPG820563\See-Project.see
118621F122ESSFGPG820571;DEBOURG - SCHEMA DES LIAISONS;BOUYGUES E. & S.;C.DOC/JG/21/27;NAIDJA;04/02/2021;O;MODIFICATION DES COMMANDES A DISTANCE DES PORTAILS ACCES METRO LIGNE B;20S0007;DEBOURG;BASSE TENSION;94012;94012;;
118621F122ESSFGPG820571;DEBOURG - SCHEMA DES LIAISONS;BOUYGUES E. & S.;C.DOC/JG/21/99;DARNER;28/04/2021;O;ONDLUEURS CHARGEURS    (2019);FM 826;DEBOURG;BASSE TENSION;94012;94012;;
118621F122ESSFGPG820571;DEBOURG - SCHEMA DES LIAISONS;ENGIE;C.DOC/JG/18/270;ROBARDET;08/10/2018;;AVENIR METRO SECOND OEUVRES;M17 0080 SOE;DEBOURG;BASSE TENSION;94012;94012;;
118621F122ESSFGPG850581;DEBOURG - IMPLANTATION EQUIPEMENTS DU LOCAL HT/BT;BOUYGUES E. & S.;C.DOC/JG/21/99;DARNER;28/04/2021;;ONDLUEURS CHARGEURS    (2019);FM 826;DEBOURG;BASSE TENSION;94030;94030;;
118621F122ESSFGPG850583;DEBOURG - CHEMINEMENTS NIVEAU SOUS-QUAI - VUE EN PLAN ET COUPE;ALSTOM;C.DOC/LB/22/9;DJOLOLIAN;07/01/2022;O;AUTOMATISMES AVM;M16-0116;DEBOURG;BASSE TENSION;94031;94031;;
118621F122ESSFGPG850583;DEBOURG - CHEMINEMENTS NIVEAU SOUS-QUAI - VUE EN PLAN ET COUPE;EIFFAGE ENERGIE;C.DOC/JG/21/264;RATHAT;13/12/2021;;MISE A JOUR DES PLANS D'IMPLANTATION POUR ARMOIRE DEPORTEE DE CHEMINEMENTS/MODIFICATION COFFRET POMPIERS JAURES;M19 0079;DEBOURG;BASSE TENSION;94031;94031;;
118621F122ESSFGPG850583;DEBOURG - CHEMINEMENTS NIVEAU SOUS-QUAI - VUE EN PLAN ET COUPE;INEO;C.DOC/JG/21/263;LESAGE;13/12/2021;O;PROLONGEMENT DE LA LIGNE B DU METRO AUX HOPITAUX LYON SUD;M19/0078;DEBOURG;BASSE TENSION;94031;94031;;
118621F122ESSFGPG850584;DEBOURG - CHEMINEMENTS NIVEAU QUAIS - VUE EN PLAN ET COUPE;EIFFAGE ENERGIE;C.DOC/LB/22/22;RATHAT;21/01/2022;;MISE A JOUR DES PLANS D'IMPLANTATION POUR ARMOIRES DEPORTEE DE CHEMINEMENTS / MODIFICATION COFFRET POMPIERS JAURES;M19-0079;DEBOURG;BASSE TENSION;94032;94032;;
118621F122ESSFGPG950590;DEBOURG - IMPLANTATION DES EQUIPEMENTS ET CHEMINEMENTS LEE;ALSTOM;C.DOC/JG/17/146;RIFFARD;17/07/2017;;AUTOMATISMES;M16/0116;DEBOURG;BASSE TENSION;94033;94033;;
118621F124ESSFGPG820576;GERLAND - TABLEAU REPARTITION BT;BOUYGUES E. & S.;C.DOC/JG/21/99;DARNER;28/04/2021;O;ONDLUEURS CHARGEURS    (2019);FM 826;GERLAND;BASSE TENSION;94108;94108;;
118621F124ESSFGPG820576;GERLAND - TABLEAU REPARTITION BT;ENGIE;C.DOC/JG/20/172;LESAGE;30/07/2020;;PROLONGEMENT METRO B HLS;M19 078;GERLAND;BASSE TENSION;94108;94108;;
118621F124ESSFGPG820576;GERLAND - TABLEAU REPARTITION BT;ENGIE;C.DOC/JG/21/46;LESAGE;04/03/2021;O;PROLONGEMENT METRO B HLS;M19 0078;GERLAND;BASSE TENSION;94108;94108;;
118621F124ESSFGPG820577;GERLAND - TABLEAU EXPLOITATION BT;ENGIE;C.DOC/JG/18/146;LAUGRAND;16/05/2018;;AVENIR METRO CFO;M17 0080;GERLAND;BASSE TENSION;94128;94128;;
118621F124ESSFGPG820577;GERLAND - TABLEAU EXPLOITATION BT;SATELEC;C.DOC/LB/22/32;BERTIAUX;01/02/2022;O;INSTALLATION DE BALISES SONORES;M20-0112;GERLAND;BASSE TENSION;94128;94128;;
118621F124ESSFGPG820578;GERLAND - ARMOIRE BT LEE;ALSTOM;C.DOC/JG/17/286;RIFFARD;22/12/2017;;AVENIR METRO - Automatismes;M16-0116;GERLAND;BASSE TENSION;94129;94129;;
118621F124ESSFGPG820578;GERLAND - ARMOIRE BT LEE;ALSTOM;C.DOC/JG/18/240;RIFFARD;27/08/2018;O;AVENIR METRO AUTOMATISMES;M16 0116;GERLAND;BASSE TENSION;94129;94129;;
118621F124ESSFGPG820580;GERLAND - ECLAIRAGE DE SECURITE;BOUYGUES E. & S.;C.DOC/JG/21/99;DARNER;28/04/2021;;ONDLUEURS CHARGEURS    (2019);FM 826;GERLAND;BASSE TENSION;94131;94131;;
